file,e_szs,e_exit,e_time,e_crash,zipperposition_szs,zipperposition_exit,zipperposition_time,zipperposition_crash
0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
0001_r001_20260331_221018_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0002_r002_20260331_221036_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.08,False
0003_r002_20260331_221036_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.06,False
0005_r003_20260331_221053_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
0007_r004_20260331_221119_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
0009_r005_20260331_221136_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0011_round001_20260331_201748_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0012_round002_20260331_201817_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.87,False
0013_round002_20260331_201817_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.02,False
0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0015_round003_20260331_201852_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0016_round004_20260331_201918_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0017_round004_20260331_201918_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0018_round005_20260331_201942_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.85,False
0019_round005_20260331_201942_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.02,False
0020_round006_20260331_202022_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
0021_round006_20260331_202022_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0023_round007_20260331_202046_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,30.04,False
0025_round008_20260331_202108_prob_zipperposition_min_1.p,Theorem,0,0.02,False,Theorem,0,0.02,False
0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0027_round009_20260331_202139_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0028_round010_20260331_202202_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0029_round010_20260331_202202_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
